1.420	 -0.05438  0.96266
1.425	 -0.05467  0.96373
1.430	 -0.05497  0.96480
1.435	 -0.05526  0.96587
1.440	 -0.05556  0.96694
1.445	 -0.05585  0.96801
1.450	 -0.05615  0.96909
1.455	 -0.05644  0.97016
1.460	 -0.05674  0.97124
1.465	 -0.05703  0.97232
1.470	 -0.05733  0.97341
1.475	 -0.05762  0.97449
1.480	 -0.05792  0.97558
1.485	 -0.05821  0.97666
1.490	 -0.05851  0.97775
1.495	 -0.05880  0.97884
1.500	 -0.05910  0.97994
1.505	 -0.05939  0.98103
1.510	 -0.05969  0.98213
1.515	 -0.05998  0.98323
1.520	 -0.06028  0.98432
1.525	 -0.06057  0.98542
1.530	 -0.06087  0.98653
1.535	 -0.06116  0.98763
1.540	 -0.06146  0.98874
1.545	 -0.06175  0.98984
1.550	 -0.06205  0.99095
1.555	 -0.06234  0.99206
1.560	 -0.06264  0.99317
1.565	 -0.06293  0.99429
1.570	 -0.06323  0.99540
1.575	 -0.06352  0.99652
1.580	 -0.06381  0.99764
1.585	 -0.06411  0.99875
1.590	 -0.06440  0.99987
1.595	 -0.06470  1.00100
1.600	 -0.06499  1.00212
1.605	 -0.06528  1.00324
1.610	 -0.06558  1.00437
1.615	 -0.06587  1.00550
1.620	 -0.06616  1.00663
1.625	 -0.06646  1.00776
1.630	 -0.06675  1.00889
1.635	 -0.06704  1.01002
1.640	 -0.06733  1.01116
1.645	 -0.06763  1.01229
1.650	 -0.06792  1.01343
1.655	 -0.06821  1.01457
1.660	 -0.06850  1.01571
1.665	 -0.06879  1.01685
1.670	 -0.06909  1.01799
1.675	 -0.06938  1.01914
1.680	 -0.06967  1.02028
1.685	 -0.06996  1.02143
1.690	 -0.07025  1.02258
1.695	 -0.07054  1.02372
1.700	 -0.07083  1.02487
1.705	 -0.07112  1.02603
1.710	 -0.07141  1.02718
1.715	 -0.07170  1.02833
1.720	 -0.07199  1.02949
1.725	 -0.07228  1.03064
1.730	 -0.07256  1.03180
1.735	 -0.07285  1.03296
1.740	 -0.07314  1.03412
1.745	 -0.07343  1.03528
1.750	 -0.07372  1.03644
1.755	 -0.07400  1.03760
1.760	 -0.07429  1.03877
1.765	 -0.07458  1.03993
1.770	 -0.07486  1.04110
1.775	 -0.07515  1.04227
1.780	 -0.07543  1.04343
1.785	 -0.07572  1.04460
1.790	 -0.07600  1.04577
